Ques No.,Ques Type,Date,Ministry,Member,Subject,links
957,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Satish Chandra Dubey,Scheme for destitute children,https://pqars.nic.in/annex/256/AU957.pdf
873,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,S. Selvaganabathy,Complaints received in NCPCR,https://pqars.nic.in/annex/256/AU873.pdf
947,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,K.J. Alphons,Steps taken by NCPCR on child traffiking and child marriages,https://pqars.nic.in/annex/256/AU947.pdf
958,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Sushmita Dev,Number of beneficiaries of PMMVY,https://pqars.nic.in/annex/256/AU958.pdf
949,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Iranna Kadadi,ICDS scheme in Karnataka,https://pqars.nic.in/annex/256/AU949.pdf
951,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,V. Sivadasan,Anganwadi Centres in the country,https://pqars.nic.in/annex/256/AU951.pdf
945,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,K.C. Venugopal,Importance of Aadhaar in Anganwadi services,https://pqars.nic.in/annex/256/AU945.pdf
959,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,M.V. Shreyams Kumar,Crimes against women,https://pqars.nic.in/annex/256/AU959.pdf
946,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Manoj Kumar Jha,Rise in child marriage,https://pqars.nic.in/annex/256/AU946.pdf
147,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Status of CCI,https://pqars.nic.in/annex/256/AU147.pdf
148,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Funds under ICPS,https://pqars.nic.in/annex/256/AU148.pdf
149,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Harassment of women in digital space,https://pqars.nic.in/annex/256/AU149.pdf
156,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Mahesh Poddar,Status of juvenile correction centres in the country,https://pqars.nic.in/annex/256/AU156.pdf
1,STARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Expenditure for Beti Bachao Beti Padhao,https://pqars.nic.in/annex/256/AS1.pdf
150,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Kirodi Lal Meena,Increasing incidents of sexual exploitation of children,https://pqars.nic.in/annex/256/AU150.pdf
157,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Geeta alias Chandraprabha,Women benefitted under PMMVY,https://pqars.nic.in/annex/256/AU157.pdf
158,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,Targets under PMMVY,https://pqars.nic.in/annex/256/AU158.pdf
79,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,John Brittas,Children orphaned due to COVID-19,https://pqars.nic.in/annex/256/AU79.pdf
152,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Requirement of husband’s Aadhaar card to access benefits of schemes,https://pqars.nic.in/annex/256/AU152.pdf
153,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Inadequacies in Swadhar Greh and Ujjawala schemes,https://pqars.nic.in/annex/256/AU153.pdf
155,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Shanta Chhetri,Certificates for mentally disabled children,https://pqars.nic.in/annex/256/AU155.pdf
6,STARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Sexual violence within marriages,https://pqars.nic.in/annex/256/AS6.pdf
159,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Sujeet Kumar,Status of developing 4000 modernized Anganwadi Centers,https://pqars.nic.in/annex/256/AU159.pdf
151,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Parimal Nathwani,"Nutritional, educational and health status of poor children",https://pqars.nic.in/annex/256/AU151.pdf
154,UNSTARRED,02.02.2022,WOMEN AND CHILD DEVELOPMENT,Naresh Bansal,National Nutrition Mission/Bal Poshan Abhiyaan,https://pqars.nic.in/annex/256/AU154.pdf
2873,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Sonal Mansingh,Status of Nirbhaya Fund,https://pqars.nic.in/annex/255/AU2873.pdf
2877,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Aims and objectives of ICDS scheme,https://pqars.nic.in/annex/255/AU2877.pdf
2875,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Roopa Ganguly,Child security in cyber space,https://pqars.nic.in/annex/255/AU2875.pdf
2874,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Kamakhya Prasad Tasa,National Crèche Scheme,https://pqars.nic.in/annex/255/AU2874.pdf
2876,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Sushmita Dev,Nirbhaya Fund for human trafficking survivors,https://pqars.nic.in/annex/255/AU2876.pdf
2872,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Kumar Ketkar,Budgetary allocation on POSHAN Abhiyaan,https://pqars.nic.in/annex/255/AU2872.pdf
266,STARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Prabhakar Reddy Vemireddy,Upgradation of Anganwadi Centres,https://pqars.nic.in/annex/255/AS266.pdf
2878,UNSTARRED,22.12.2021,WOMEN AND CHILD DEVELOPMENT,Dhiraj Prasad Sahu,Cost norms for supplementary nutrition,https://pqars.nic.in/annex/255/AU2878.pdf
2079,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Sonal Mansingh,'One Stop Centre' scheme for women victims,https://pqars.nic.in/annex/255/AU2079.pdf
2063,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Sasmit Patra,Reducing malnourishment through POSHAN Abhiyaan,https://pqars.nic.in/annex/255/AU2063.pdf
2080,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Abdul Wahab,Household violence against women,https://pqars.nic.in/annex/255/AU2080.pdf
2064,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Crimes against women,https://pqars.nic.in/annex/255/AU2064.pdf
2075,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Increasing infant deaths in some States,https://pqars.nic.in/annex/255/AU2075.pdf
195,STARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Human trafficking through technology,https://pqars.nic.in/annex/255/AS195.pdf
2076,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Roopa Ganguly,Underutilisation of Nirbhaya Fund,https://pqars.nic.in/annex/255/AU2076.pdf
2071,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Geeta alias Chandraprabha,Guidelines to prevent juvenile crimes,https://pqars.nic.in/annex/255/AU2071.pdf
2067,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Facilities for women in state-run mental healthcare institutions,https://pqars.nic.in/annex/255/AU2067.pdf
2078,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Saroj Pandey,Maternal mortality rate and infant mortality rate in the country,https://pqars.nic.in/annex/255/AU2078.pdf
2069,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Schemes for the development of women and children,https://pqars.nic.in/annex/255/AU2069.pdf
2062,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Kanakamedala Ravindra Kumar,Smart phones to Anganwadi workers,https://pqars.nic.in/annex/255/AU2062.pdf
2070,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Sushil Kumar Gupta,Welfare of women construction workers,https://pqars.nic.in/annex/255/AU2070.pdf
2073,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Sushmita Dev,Malnutrition-free India,https://pqars.nic.in/annex/255/AU2073.pdf
2066,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Kanimozhi NVN Somu,Problems faced by women during the pandemic,https://pqars.nic.in/annex/255/AU2066.pdf
2068,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Narain Dass Gupta,Increase in domestic violence against women during lockdown period,https://pqars.nic.in/annex/255/AU2068.pdf
2074,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,G.C. Chandrashekhar,Benefit to women under PMMVY,https://pqars.nic.in/annex/255/AU2074.pdf
2065,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Prabhakar Reddy Vemireddy,Construction of AWCs in Andhra Pradesh,https://pqars.nic.in/annex/255/AU2065.pdf
2077,UNSTARRED,15.12.2021,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,Hostel facilities for working women in Gujarat,https://pqars.nic.in/annex/255/AU2077.pdf
112,STARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Pradhan Mantri Matru Vandana Yojana (PMMVY),https://pqars.nic.in/annex/255/AS112.pdf
1273,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Human trafficking in women and children,https://pqars.nic.in/annex/255/AU1273.pdf
1276,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Vishambhar Prasad Nishad,Increasing malnutrition in children during Corona period,https://pqars.nic.in/annex/255/AU1276.pdf
1272,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Vinay P. Sahasrabuddhe,Missing and vulnerable children,https://pqars.nic.in/annex/255/AU1272.pdf
1280,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,S. Selvaganabathy,Scheme for monitoring nutritional status of children,https://pqars.nic.in/annex/255/AU1280.pdf
1267,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Compliance to CEDAW guidelines,https://pqars.nic.in/annex/255/AU1267.pdf
107,STARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Shamsher Singh Dullo,Global Hunger Index Ranking for 2021,https://pqars.nic.in/annex/255/AS107.pdf
1266,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Brijlal,Impact of use of mobile and internet on children,https://pqars.nic.in/annex/255/AU1266.pdf
1275,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,G.C. Chandrashekhar,Anaemia in women,https://pqars.nic.in/annex/255/AU1275.pdf
1279,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,K.C. Venugopal,Under-nourishment of women and children,https://pqars.nic.in/annex/255/AU1279.pdf
1271,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,C.M. Ramesh,Crimes against women,https://pqars.nic.in/annex/255/AU1271.pdf
1277,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,Development of students at Anganwadi centres,https://pqars.nic.in/annex/255/AU1277.pdf
1274,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Sujeet Kumar,Addressing health issues of children,https://pqars.nic.in/annex/255/AU1274.pdf
1270,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Manoj Kumar Jha,Malnutrition among children,https://pqars.nic.in/annex/255/AU1270.pdf
1269,UNSTARRED,08.12.2021,WOMEN AND CHILD DEVELOPMENT,Bikash Ranjan,Malnutrition and anaemia in women,https://pqars.nic.in/annex/255/AU1269.pdf
476,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Increasing number of stunted children,https://pqars.nic.in/annex/255/AU476.pdf
468,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Narendra Jadhav,Incentivising sectors to empower women,https://pqars.nic.in/annex/255/AU468.pdf
37,STARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Welfare of socially isolated and economically weaker women,https://pqars.nic.in/annex/255/AS37.pdf
478,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Lack of child sensitive programs,https://pqars.nic.in/annex/255/AU478.pdf
479,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Children living with mothers in prison,https://pqars.nic.in/annex/255/AU479.pdf
466,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Increase in number of malnourished children,https://pqars.nic.in/annex/255/AU466.pdf
461,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,M. Mohamed Abdulla,Status of ICDS,https://pqars.nic.in/annex/255/AU461.pdf
473,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,K.R.N. Rajeshkumar,Funds under ICDS,https://pqars.nic.in/annex/255/AU473.pdf
460,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,Implementation of POSHAN Abhiyaan,https://pqars.nic.in/annex/255/AU460.pdf
462,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Mamata Mohanta,Policy to promote women empowerment,https://pqars.nic.in/annex/255/AU462.pdf
477,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,John Brittas,Welfare of Anganwadi and ASHA workers,https://pqars.nic.in/annex/255/AU477.pdf
480,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,L. Hanumanthaiah,Cases of violence against women with disabilities during COVID-19,https://pqars.nic.in/annex/255/AU480.pdf
467,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,V. Sivadasan,Problems faced by women and children since first lockdown,https://pqars.nic.in/annex/255/AU467.pdf
459,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Prashanta Nanda,Fund provision for the functioning of Child Protection Committees,https://pqars.nic.in/annex/255/AU459.pdf
474,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Rakesh Sinha,Health and welfare of pregnant women,https://pqars.nic.in/annex/255/AU474.pdf
469,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Y. S. Chowdary,National Nutrition Mission,https://pqars.nic.in/annex/255/AU469.pdf
470,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,Y. S. Chowdary,AWCs in Andhra Pradesh and Tamil Nadu,https://pqars.nic.in/annex/255/AU470.pdf
465,UNSTARRED,01.12.2021,WOMEN AND CHILD DEVELOPMENT,C.M. Ramesh,Monitoring mechanism under POSHAN Abhiyaan,https://pqars.nic.in/annex/255/AU465.pdf
2072,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Subhash Chandra Singh,POCSO e-Box,https://pqars.nic.in/annex/254/AU2072.pdf
187,STARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,"Self-reliance, dignity and security of women",https://pqars.nic.in/annex/254/AS187.pdf
2071,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Banda Prakash,Evaluation of Nutrition Rehabilitation Centres,https://pqars.nic.in/annex/254/AU2071.pdf
2075,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,G.V.L. Narasimha Rao,Allocation and utilisation of funds,https://pqars.nic.in/annex/254/AU2075.pdf
2079,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Digvijaya Singh,Children orphaned due to COVID-19,https://pqars.nic.in/annex/254/AU2079.pdf
190,STARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Vishambhar Prasad Nishad,Increase in number of malnourished children,https://pqars.nic.in/annex/254/AS190.pdf
2069,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Supplementary nutrition under ICDS,https://pqars.nic.in/annex/254/AU2069.pdf
2080,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Ripun Bora,Progress in Poshan Abhiyaan,https://pqars.nic.in/annex/254/AU2080.pdf
2073,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Additional nutrition to children through Anganwadis,https://pqars.nic.in/annex/254/AU2073.pdf
2078,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,K.J. Alphons,Conviction rate in POCSO cases,https://pqars.nic.in/annex/254/AU2078.pdf
2068,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Iranna Kadadi,Setting up of Rashtriya Mahila Kosh,https://pqars.nic.in/annex/254/AU2068.pdf
2076,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Mission Vatsalya,https://pqars.nic.in/annex/254/AU2076.pdf
195,STARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Vacancies in Rashtriya Mahila Kosh,https://pqars.nic.in/annex/254/AS195.pdf
2070,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Phulo Devi Netam,Malnutrition among women and children,https://pqars.nic.in/annex/254/AU2070.pdf
2074,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,K. Somaprasad,Smart Anganwadi Project,https://pqars.nic.in/annex/254/AU2074.pdf
2077,UNSTARRED,05.08.2021,WOMEN AND CHILD DEVELOPMENT,Shaktisinh Gohil,Budget allocation and expenditure for Nirbhaya Fund,https://pqars.nic.in/annex/254/AU2077.pdf
1277,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Kapil Sibal,Assistance to children orphaned by Covid pandemic,https://pqars.nic.in/annex/254/AU1277.pdf
1260,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Sanctioned and operational One Stop Centres,https://pqars.nic.in/annex/254/AU1260.pdf
1280,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Abdul Wahab,Open auction of Muslim women through online app,https://pqars.nic.in/annex/254/AU1280.pdf
1259,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Financial allocation to Anganwadi Centres,https://pqars.nic.in/annex/254/AU1259.pdf
1266,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Bhaskar Rao Nekkanti,Implementation of Gender Budgeting,https://pqars.nic.in/annex/254/AU1266.pdf
1267,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Bhaskar Rao Nekkanti,Gender gap in the country,https://pqars.nic.in/annex/254/AU1267.pdf
1275,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Harnath Singh Yadav,National Nutrition Mission,https://pqars.nic.in/annex/254/AU1275.pdf
1276,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Cyber safety norms and children,https://pqars.nic.in/annex/254/AU1276.pdf
1279,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Sushil Kumar Modi,Financial assistance to orphans,https://pqars.nic.in/annex/254/AU1279.pdf
1278,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Ashok Bajpai,Legal Aid Cell on Child Rights,https://pqars.nic.in/annex/254/AU1278.pdf
1274,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Orphanages in Uttar Pradesh,https://pqars.nic.in/annex/254/AU1274.pdf
1262,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Iranna Kadadi,Efforts to reduce malnutrition among women and children,https://pqars.nic.in/annex/254/AU1262.pdf
114,STARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,V. Vijayasai Reddy,Opinion on DISHA Bill,https://pqars.nic.in/annex/254/AS114.pdf
1268,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,V. Vijayasai Reddy,One Stop Centres in Andhra Pradesh,https://pqars.nic.in/annex/254/AU1268.pdf
1270,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Prashanta Nanda,Role of internet in trafficking,https://pqars.nic.in/annex/254/AU1270.pdf
1261,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Neeraj Dangi,Empowerment of rural women,https://pqars.nic.in/annex/254/AU1261.pdf
1271,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Brijlal,Adoption of children who lost their parents,https://pqars.nic.in/annex/254/AU1271.pdf
1272,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Sanctioned/operational Anganwadi Centres in the country,https://pqars.nic.in/annex/254/AU1272.pdf
1273,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Release of funds under Pradhan Mantri Matru Vandana Yojana (PMMVY),https://pqars.nic.in/annex/254/AU1273.pdf
109,STARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Phulo Devi Netam,Malnutrition in the country,https://pqars.nic.in/annex/254/AS109.pdf
1264,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,Concerns over Poshan Abhiyaan app,https://pqars.nic.in/annex/254/AU1264.pdf
1265,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,Severe malnutrition in children,https://pqars.nic.in/annex/254/AU1265.pdf
1257,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Violation of rights and autonomy of women,https://pqars.nic.in/annex/254/AU1257.pdf
1258,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Sexual harassment complaints in Central Ministries,https://pqars.nic.in/annex/254/AU1258.pdf
1263,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,Welfare and social security of orphaned children,https://pqars.nic.in/annex/254/AU1263.pdf
1269,UNSTARRED,29.07.2021,WOMEN AND CHILD DEVELOPMENT,Shaktisinh Gohil,Safety and security of women and children,https://pqars.nic.in/annex/254/AU1269.pdf
476,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,Underutilization of funds under Beti Bachao Beti Padao (BBBP) Scheme,https://pqars.nic.in/annex/254/AU476.pdf
471,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Utilisation of Nirbhaya Fund,https://pqars.nic.in/annex/254/AU471.pdf
31,STARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,K.R. Suresh Reddy,Compensation for children orphaned due to COVID-19 pandemic,https://pqars.nic.in/annex/254/AS31.pdf
467,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Santanu Sen,Basic facilities for women farmers protesting at Delhi borders,https://pqars.nic.in/annex/254/AU467.pdf
460,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Surendra Singh Nagar,Financial assistance to startups under Nirbhaya Scheme,https://pqars.nic.in/annex/254/AU460.pdf
475,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Ram Nath Thakur,Conditions of juvenile homes,https://pqars.nic.in/annex/254/AU475.pdf
465,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Bhaskar Rao Nekkanti,Shelter Homes for detoxification,https://pqars.nic.in/annex/254/AU465.pdf
466,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Bhaskar Rao Nekkanti,One Stop Centres in Odisha,https://pqars.nic.in/annex/254/AU466.pdf
474,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Elamaram Kareem,Anganwadi Workers and Helpers,https://pqars.nic.in/annex/254/AU474.pdf
38,STARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Elamaram Kareem,Poshan tracker app for Anganwadi Workers,https://pqars.nic.in/annex/254/AS38.pdf
456,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Mallikarjun Kharge,Child rights affected due to COVID-19,https://pqars.nic.in/annex/254/AU456.pdf
470,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Prasanna Acharya,State Commission for Protection of Child Rights,https://pqars.nic.in/annex/254/AU470.pdf
472,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,Expenditure on Pradhan Mantri Matru Vandana Yojana,https://pqars.nic.in/annex/254/AU472.pdf
480,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,T.G. Venkatesh,Utilisation of Nirbhaya Fund,https://pqars.nic.in/annex/254/AU480.pdf
473,UNSTARRED,22.07.2021,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,Lack of access to menstrual pads during the pandemic.,https://pqars.nic.in/annex/254/AU473.pdf
